City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,cockburn town,21.4612,-71.1419,29.98,66,40,7.2,TC,1699551192
83,badger,64.8,-147.5333,2.95,63,100,5.66,US,1699551272
84,port mathurin,-19.6833,63.4167,25.03,72,1,6.23,MU,1699551179
85,holualoa,19.6228,-155.9522,22.15,76,0,2.24,US,1699551388
86,as sulaymaniyah,35.5611,45.4375,17.1,44,14,0.34,IQ,1699551532
87,niafunke,15.9322,-3.9906,32.08,14,49,3.87,ML,1699551532
88,severnoye,56.3491,78.3619,-4.45,87,48,4.02,RU,1699551394
89,dumai,1.6833,101.45,23.3,98,100,1.04,ID,1699551533
90,asker,59.8333,10.4372,4.24,92,100,1.57,NO,1699551534
91,zhezqazghan,47.7833,67.7667,5.42,87,74,4.39,KZ,1699551534
92,avarua,-21.2078,-159.775,23.03,88,20,2.57,CK,1699551269
93,waitangi,-43.9535,-176.5597,8.49,65,83,14.28,NZ,1699551156
94,yemetsk,63.4721,41.7941,-1.71,90,83,0.82,RU,1699551381
95,keelung,25.1283,121.7419,26.11,83,61,0.93,TW,1699551535
96,male,4.1748,73.5089,26.97,94,100,2.06,MV,1699551536
97,tando muhammad khan,25.123,68.5358,25.98,61,11,3.9,PK,1699551536
98,ust-nera,64.5667,143.2,-31.11,99,83,1.73,RU,1699551227
99,olonkinbyen,70.9221,-8.7187,-1.77,68,100,2.23,SJ,1699551190
100,horta,38.5333,-28.6333,20.8,95,75,9.39,PT,1699551322
101,cobija,-11.0267,-68.7692,30.1,74,75,1.54,BO,1699551538
102,puerto carreno,6.189,-67.4859,33.99,55,20,3.09,CO,1699551539
103,es castell,39.8795,4.2854,15.38,94,40,3.09,ES,1699551539
104,greymouth,-42.4667,171.2,7.12,87,9,2.62,NZ,1699551540
105,lebu,-37.6167,-73.65,13.62,67,0,7.56,CL,1699551235
106,north branch,45.5113,-92.9802,8.04,55,1,5.36,US,1699551541
107,santa cruz,-17.8,-63.1667,38.03,37,20,9.26,BO,1699551366
108,rongelap,11.1635,166.8941,27.71,79,99,9.58,MH,1699551238
109,errachidia,31.9275,-4.4285,24.03,16,0,1.54,MA,1699551542
110,al ghayzah,16.2079,52.176,27.29,58,6,2.92,YE,1699551263
111,zhanga buqtyrma,49.6295,83.5248,-3.11,81,21,1.27,KZ,1699551543
112,kodiak,57.79,-152.4072,-0.27,55,0,4.12,US,1699551204
113,quellon,-43.1167,-73.6167,11.97,59,24,4.51,CL,1699551189
114,swakopmund,-22.6833,14.5333,17.47,77,8,2.68,NA,1699551270
115,tura,25.5198,90.2201,18.08,70,4,1.41,IN,1699551284
116,idri,27.5,13.2667,23.74,22,67,3.66,LY,1699551545
117,montepuez,-13.1256,38.9997,25.46,60,39,4.53,MZ,1699551422
118,yeppoon,-23.1333,150.7333,19.88,77,4,4.67,AU,1699551546
